Master_Joint_Numbers,Target_Joint_Numbers,Match_Type,Confidence,Master_Total_Length,Target_Total_Length,Length_Difference,Master_Start_Distance,Target_Start_Distance,Is_Split,Is_Merge
315,3170,1-to-1,0.981,18.182,18.13,0.052,4968.118,4934.09,False,False
316,3180,1-to-1,0.969,16.176,16.1,0.076,4986.3,4952.22,False,False
317,3190,1-to-1,0.976,18.184,18.12,0.064,5002.476,4968.32,False,False
318,3200,1-to-1,0.976,18.166,18.1,0.066,5020.66,4986.44,False,False
319,3210,1-to-1,0.968,18.168,18.08,0.088,5038.826,5004.54,False,False
320,3220,1-to-1,0.982,18.18,18.13,0.05,5056.994,5022.62,False,False
321,3230,1-to-1,0.973,18.124,18.05,0.074,5075.174,5040.75,False,False
322,3240,1-to-1,0.979,18.036,17.98,0.056,5093.298,5058.8,False,False
323,3250,1-to-1,0.982,18.188,18.14,0.048,5111.334,5076.78,False,False
324,3260,1-to-1,0.982,18.14,18.09,0.05,5129.522,5094.92,False,False
325,3270,1-to-1,0.993,18.13,18.11,0.02,5147.662,5113.01,False,False
326,3280,1-to-1,0.972,18.186,18.11,0.076,5165.792,5131.12,False,False
327,3290,1-to-1,0.962,4.194,4.17,0.024,5183.978,5149.23,False,False
328,3300,1-to-1,0.976,18.086,18.02,0.066,5188.172,5153.4,False,False
329,3310,1-to-1,0.968,18.036,17.95,0.086,5206.258,5171.42,False,False
330,3320,1-to-1,0.964,18.138,18.04,0.098,5224.294,5189.37,False,False
331,3330,1-to-1,0.967,18.13,18.04,0.09,5242.432,5207.41,False,False
332,3340,1-to-1,0.959,18.09,17.98,0.11,5260.562,5225.45,False,False
333,3350,1-to-1,0.96,18.088,17.98,0.108,5278.652,5243.43,False,False
334,3360,1-to-1,0.954,18.194,18.07,0.124,5296.74,5261.41,False,False
335,3370,1-to-1,0.971,18.16,18.08,0.08,5314.934,5279.48,False,False
336,3380,1-to-1,0.963,18.202,18.1,0.102,5333.094,5297.56,False,False
